Pico1;Pico2;Pico3;Pico4;Pico5
12.72;29.3;46.05;63.54;82.61
12.57;29.32;46.1;63.56;82.8
12.77;29.42;46.08;63.61;82.75
12.74;29.35;46.12;63.58;82.73
12.6;29.32;46.2;63.56;82.78
12.67;29.35;46.22;63.58;82.85
12.69;29.3;46.2;63.61;82.61
12.74;29.27;46.1;63.61;82.63
12.42;29.3;46.12;63.49;82.83
12.74;29.32;46.17;63.51;82.9
12.72;29.4;46.22;63.58;82.75
12.79;29.37;46.22;63.49;82.61
12.67;29.42;46.2;63.71;82.68
12.79;29.27;46.15;63.54;82.68
12.69;29.37;46.15;63.61;82.68
12.62;29.3;46.15;63.73;82.83
12.64;29.4;46.15;63.54;82.93
12.86;29.3;46.2;63.54;82.95
12.72;29.37;46.22;63.61;82.85
12.72;29.32;46.2;63.58;82.8
12.64;29.3;46.15;63.39;82.68
12.69;29.27;45.98;63.44;82.68
12.64;29.4;46.22;63.51;82.71
12.67;29.35;46.12;63.58;82.83
12.57;29.45;46.15;63.51;82.8
12.52;29.35;46.2;63.58;82.88
12.67;29.35;46.2;63.54;82.9
12.74;29.4;46.22;63.58;82.8
12.72;29.37;46.22;63.61;82.78
12.91;29.37;46.25;63.56;82.78
12.64;29.37;46.25;63.71;82.85
12.72;29.37;46.22;63.58;82.73
12.74;29.42;46.25;63.66;82.78
12.79;29.45;46.12;63.76;82.83
12.6;29.27;46.98;63.51;82.68
12.69;29.18;46.12;63.61;82.71
12.57;29.4;46.08;63.32;82.93
12.6;29.42;46.1;63.46;82.8
12.72;29.4;46.2;63.58;82.75
12.74;29.4;46.17;63.61;82.78
12.84;29.35;46.17;63.71;82.71
12.77;29.37;46.22;63.46;82.8
12.67;29.42;46.25;63.54;82.95
12.77;29.42;46.17;63.66;82.78
12.74;29.4;46.22;63.68;82.75
12.67;29.18;46.17;63.54;82.93
12.91;29.35;46.12;63.66;82.73
12.69;29.35;46.22;63.61;82.83
12.77;29.1;45.98;63.54;82.75
12.82;29.37;46.15;63.51;82.75
12.82;29.32;46.22;63.63;82.63
12.74;29.32;46.15;63.56;82.8
12.72;29.23;46.22;63.58;82.58
12.79;29.4;46.17;63.71;82.71
12.64;29.35;46.15;63.51;82.75
12.77;29.42;46.1;63.73;82.85
12.64;29.32;46.25;63.32;82.85
12.79;29.37;46.22;63.61;82.78
12.72;29.35;46.15;63.58;82.83
12.86;29.37;46.17;63.71;82.66
12.84;29.3;46.22;63.66;82.88
12.79;29.35;46.25;63.61;82.78
12.45;29.27;46.12;63.54;82.71
12.82;29.3;46.22;63.54;82.6
12.64;29.32;46.17;63.71;82.78
12.64;29.4;46.15;63.63;82.93
12.64;29.37;46.15;63.51;82.85
12.64;29.37;46.2;63.66;82.8
12.55;29.4;46.22;63.46;82.93
12.6;29.4;46.22;63.54;82.75
12.72;29.4;46.22;63.71;82.75
12.74;29.42;46.2;63.66;82.73
12.82;29.35;46.2;63.58;82.8
12.67;29.42;46.25;63.63;82.93
12.69;29.35;46.25;63.71;82.88
12.74;29.32;46.2;63.66;82.9
12.45;29.27;45.95;63.41;82.61
12.74;29.2;46.2;63.61;82.66
12.6;29.23;46.15;63.61;82.58
12.62;29.3;46.08;63.54;82.85
12.77;29.27;46.1;63.39;82.68
12.77;29.27;46.1;63.68;82.68
12.84;29.32;46.2;63.58;82.68
12.84;29.25;46.17;63.49;82.66
12.6;29.4;46.1;63.46;82.73
12.74;29.25;46.03;63.44;82.56
12.67;29.25;46.12;63.61;82.58
12.62;29.3;46.08;63.49;82.56
12.64;29.25;46.12;63.51;82.78
12.5;29.25;46.12;63.46;82.8
12.74;29.3;46.05;63.58;82.66
12.57;29.32;46.08;63.68;82.63
12.55;29.3;46.15;63.63;82.8
12.67;29.32;46.08;63.61;82.83
12.5;29.23;46.17;63.71;82.85
12.62;29.18;46.1;63.63;82.58
12.57;29.3;46.12;63.44;82.83
12.74;29.25;46.05;63.44;82.56
12.72;29.4;46.1;63.41;82.9
